Wind_Speed_ms,Wind_Gen_MWh,Solar_Radiation_Wm2,Solar_Gen_MWh,Cloud_Cover_pct
4.333333333333333,7093.88,0.0,230.55,35.25
3.645833333333333,2469.27,203.5,19434.84,98.25
2.9722222222222223,2102.01,611.75,38341.01,59.75
4.173611111111111,3516.96,753.75,37818.82,78.25
3.5,5079.58,424.5,19544.7,74.75
3.7152777777777777,7490.9,152.0,1294.27,58.25
4.937499999999999,12335.53,0.0,6.73,95.0
5.256944444444445,9645.0,0.0,8.69,99.75
4.236111111111111,6994.76,0.0,77.3,99.5
3.1805555555555554,4009.0,75.5,6204.22,100.0
3.395833333333333,3259.18,221.5,12948.03,100.0
3.3402777777777777,5175.05,281.5,19159.66,100.0
4.715277777777778,10287.55,419.0,15010.45,76.0
5.125,8352.75,84.5,1350.98,78.75
5.263888888888888,9282.07,0.0,8.06,76.5
5.534722222222222,11715.25,0.0,5.56,74.0
5.958333333333333,12448.52,0.0,88.77,77.75
5.67361111111111,11352.78,137.75,11175.41,62.0
6.597222222222222,13888.25,517.25,26019.36,54.5
6.881944444444444,16754.45,489.0,29871.19,75.5
6.965277777777778,18137.37,449.75,17526.21,62.75
5.659722222222222,15941.33,102.25,1241.79,59.0
6.798611111111112,21585.56,0.0,7.43,59.75
7.361111111111111,24197.06,0.0,5.55,69.0
7.326388888888888,23288.23,0.0,70.32,73.25
7.048611111111111,21946.7,111.0,13138.64,67.75
6.930555555555555,21120.07,362.25,30547.63,61.5
7.166666666666667,20231.29,385.0,31019.02,86.5
6.798611111111112,17273.23,281.0,19112.14,94.0
5.479166666666667,9713.16,80.5,1404.58,90.75
4.631944444444445,6373.65,0.0,12.79,84.0
4.013888888888888,4403.4,0.0,5.26,100.0
3.9861111111111116,3746.7,0.0,116.33,80.75
4.076388888888889,1936.21,122.5,9873.24,77.5
2.763888888888889,1738.01,363.75,24970.71,89.5
3.6736111111111107,2692.45,552.75,27089.3,90.25
2.7777777777777777,3752.08,373.5,16719.49,92.5
3.0486111111111107,2246.11,120.75,1356.82,77.5
3.6041666666666665,2149.48,0.0,8.24,86.0
3.1875,2098.63,0.0,8.1,95.0
2.444444444444444,3206.49,0.0,69.08,80.25
2.6458333333333335,2553.52,110.0,11685.78,75.75
2.972222222222222,3344.11,435.75,26400.5,77.5
3.2499999999999996,5330.25,466.25,29333.17,99.0
4.743055555555555,7279.78,413.25,16058.55,86.75
4.25,4976.88,110.5,1156.63,86.0
4.298611111111111,3356.29,0.0,8.55,46.5
4.201388888888888,2784.9,0.0,7.63,66.25
4.430555555555555,2374.27,0.0,51.09,77.5
3.125,2068.25,98.5,10592.28,68.0
3.138888888888889,1505.16,302.25,24678.19,91.0
3.4236111111111107,2277.94,526.5,28905.0,76.25
3.138888888888889,2720.21,347.5,16314.2,67.5
2.576388888888889,975.34,110.0,1097.54,56.5
2.7361111111111116,758.21,0.0,7.15,62.75
3.298611111111111,1800.63,0.0,5.82,96.25
3.1875,2030.66,0.0,71.61,87.25
3.284722222222222,2264.28,92.25,9739.86,98.25
2.0694444444444446,1868.55,441.25,27300.02,78.5
3.576388888888889,4439.14,350.5,26905.4,99.5
3.298611111111111,7285.39,429.25,15398.63,82.25
3.8402777777777777,5555.48,99.75,919.81,91.25
4.354166666666667,5076.5,0.0,6.56,83.0
4.840277777777778,6787.59,0.0,5.25,78.25
5.340277777777778,7950.8,0.0,36.49,61.75
4.5625,7392.49,106.25,8791.08,99.0
4.791666666666667,11187.53,419.25,24055.93,82.5
5.680555555555555,14993.23,474.75,26195.66,86.75
7.173611111111112,17016.8,409.0,17357.45,71.75
5.826388888888889,13175.49,122.75,1173.62,52.75
6.243055555555555,15705.17,0.0,7.3,36.5
6.194444444444445,15768.49,0.0,5.53,56.25
5.868055555555555,13535.19,0.0,76.2,58.75
4.951388888888888,10222.76,170.75,12642.54,61.75
5.249999999999999,12937.51,473.5,31931.9,42.5
5.520833333333333,13532.62,498.75,34200.52,32.25
4.729166666666666,12543.28,543.0,19065.46,35.5
5.284722222222221,7099.99,115.5,1053.53,61.5
5.527777777777778,9038.55,0.0,6.58,66.25
5.138888888888888,10354.28,0.0,6.23,81.0
5.291666666666667,10289.07,0.0,71.43,56.0
