date,cumulative_eur
2025-07-09,80432.70705882351
2025-07-10,80722.4176470588
2025-07-11,80977.03117647057
2025-07-12,81461.95352941175
2025-07-13,81952.00352941176
2025-07-14,82189.41764705881
2025-07-15,82463.26588235293
2025-07-16,82596.26
2025-07-17,82804.27176470587
2025-07-18,82991.8594117647
2025-07-19,83434.12647058823
2025-07-20,83889.56294117647
2025-07-21,83997.20823529412
2025-07-22,84380.79764705883
2025-07-23,84682.50470588237
2025-07-24,84838.57882352943
2025-07-25,84925.58529411767
2025-07-26,85124.3017647059
2025-07-27,85456.6611764706
2025-07-28,85575.9517647059
2025-07-29,86002.93529411766
2025-07-30,86331.32411764708
2025-07-31,86576.27823529413
2025-08-01,86763.78941176472
2025-08-02,87187.03882352942
2025-08-03,87599.22294117649
2025-08-04,87972.52941176473
2025-08-05,88396.70882352944
2025-08-06,88982.20176470591
2025-08-07,89476.42705882355
2025-08-08,90008.16411764709
2025-08-09,90515.70176470591
2025-08-10,91177.53764705885
2025-08-11,91792.86941176474
2025-08-12,92292.12705882356
2025-08-13,92775.6323529412
2025-08-14,93313.89588235297
2025-08-15,93767.60823529414
2025-08-16,94161.7835294118
2025-08-17,94600.36588235297
2025-08-18,95122.15647058826
2025-08-19,95501.71705882356
2025-08-20,95758.44705882356
2025-08-21,95906.46764705885
2025-08-22,96314.80588235296
2025-08-23,96776.70941176472
2025-08-24,97246.25705882354
2025-08-25,97844.78235294118
2025-08-26,98280.00647058824
2025-08-27,98702.69882352941
2025-08-28,98950.50588235294
2025-08-29,99159.14470588235
2025-08-30,99641.99529411765
2025-08-31,100142.95235294118
2025-09-01,100680.69352941177
2025-09-02,101204.49411764706
2025-09-03,101641.44882352941
2025-09-04,102491.64588235294
2025-09-05,102704.05294117647
2025-09-06,103230.61470588236
2025-09-07,103814.46529411765
2025-09-08,104565.27882352941
2025-09-09,105251.46058823529
2025-09-10,105680.3705882353
2025-09-11,106185.11176470589
2025-09-12,106743.57
2025-09-13,107203.54529411765
2025-09-14,107708.00647058824
2025-09-15,107956.80470588236
2025-09-16,108416.77764705883
2025-09-17,108840.76294117648
2025-09-18,109335.48588235295
2025-09-19,110295.69882352943
2025-09-20,110773.5811764706
2025-09-21,111237.06647058825
2025-09-22,111422.92764705884
2025-09-23,111679.63882352943
2025-09-24,112074.26117647061
2025-09-25,112429.94294117649
2025-09-26,112584.10294117649
2025-09-27,112844.8517647059
2025-09-28,113263.74058823532
2025-09-29,113981.61176470591
2025-09-30,114670.97529411768
2025-10-01,115262.90176470592
2025-10-02,115600.91235294122
2025-10-03,115941.5941176471
2025-10-04,115956.97235294121
2025-10-05,116054.60058823533
2025-10-06,116565.0429411765
2025-10-07,117075.74470588239
2025-10-08,117366.04058823534
2025-10-09,117514.21058823534
2025-10-10,117636.79176470592
2025-10-11,117860.71058823534
2025-10-12,118014.08941176474
2025-10-13,118620.99764705886
2025-10-14,119407.38882352944
2025-10-15,119937.76176470591
2025-10-16,120077.42941176474
2025-10-17,120199.03000000003
2025-10-18,120345.72882352944
2025-10-19,120563.6529411765
2025-10-20,120791.66117647062
2025-10-21,121095.77000000003
2025-10-22,121648.31117647063
2025-10-23,121772.64764705887
2025-10-24,122080.62882352945
2025-10-25,122255.67058823533
2025-10-26,122381.0135294118
2025-10-27,122829.03529411768
2025-10-28,123151.23117647062
2025-10-29,123391.5647058824
2025-10-30,123805.01352941181
2025-10-31,123963.06647058828
2025-11-01,124242.54000000005
2025-11-02,124442.97705882358
2025-11-03,124606.91882352947
2025-11-04,125061.30705882359
2025-11-05,125286.15176470594
2025-11-06,125455.55647058829
2025-11-07,125658.97647058828
2025-11-08,125743.27000000005
2025-11-09,125799.19764705887
2025-11-10,125976.47176470593
2025-11-11,126147.17588235298
2025-11-12,126308.00058823533
2025-11-13,126764.70647058827
2025-11-14,126875.55176470592
2025-11-15,127008.6023529412
2025-11-16,127090.81411764708
2025-11-17,127223.57941176473
2025-11-18,127415.51117647061
2025-11-19,127528.34764705885
2025-11-20,127788.27058823532
2025-11-21,128267.39705882355
2025-11-22,128335.93941176473
2025-11-23,128370.10823529414
2025-11-24,128946.87411764708
2025-11-25,129869.50588235297
2025-11-26,130504.03411764708
2025-11-27,130607.48058823532
2025-11-28,130769.78235294121
2025-11-29,130806.71647058828
2025-11-30,130901.4735294118
2025-12-01,131043.78882352945
2025-12-02,131419.24705882356
2025-12-03,132057.1335294118
2025-12-04,132240.02823529416
2025-12-05,132527.46000000005
2025-12-06,132587.25000000006
2025-12-07,132758.89941176475
2025-12-08,133121.7235294118
2025-12-09,133258.18176470592
2025-12-10,133500.88058823533
2025-12-11,133607.61882352945
2025-12-12,133755.4829411765
2025-12-13,133833.1041176471
2025-12-14,133869.44235294123
2025-12-15,133954.165882353
2025-12-16,134182.02352941182
2025-12-17,134294.04176470594
2025-12-18,134534.6035294118
2025-12-19,134936.04882352945
2025-12-20,135017.9352941177
2025-12-21,135067.52823529416
2025-12-22,135155.6735294118
2025-12-23,135212.57823529418
2025-12-24,135292.30470588242
2025-12-25,135440.38941176477
2025-12-26,135521.93000000008
2025-12-27,135583.46470588242
2025-12-28,135656.74058823535
2025-12-29,135706.24176470595
2025-12-30,135809.31117647066
2025-12-31,135864.4176470589
